basesCatapult,basesDefence,basesFrontier,basesResource,battlesLost,battlesLostPvE,battlesLostPvP,battlesWon,battlesWonPvE,battlesWonPvP,castleLevel,deckSize,heroLevel,isVip,pointsConquest,pointsSupport,pointsWar,pointsWarHighest,powerCards,powerCity,powerHero,powerMap,powerMonsterSkill,powerQuests,powerResearch,powerTotal,powerTroop,purchasedGoldTotal,questsCompleted,sessionCount,session_events_total,session_events_avg,session_length_mins_total,session_length_mins_avg,avg_event_interval_avg,playerIsGuest,registeredEmail,playerInAlliance,totalBattles,FTUEIntroCompleted,FTUEOnRailsCompleted,FTUEDayOneReturnIntroCompleted,FTUEDayOneReturnCompleted,churnedWithin3Days
0,0,0,0,0,0,0,3,3,0,2,2,1.0,0,1,0.0,110.0,127.0,804,340,50,100,20,0,0,1451,137,0,0,1,295.0,295.0,4.837833333333333,4.837833333333333,0.016399435028248588,1,0,0,3,1,0,0,0,1
0,0,0,0,0,0,0,3,3,0,2,2,2.0,0,1,0.0,134.0,155.0,804,340,145,100,20,800,0,2346,137,0,0,2,413.0,206.5,4.558283333333334,2.279141666666667,0.03283560298102981,1,0,0,3,1,1,0,0,1
0,0,0,0,0,0,0,2,2,0,2,2,1.0,0,0,0.0,39.0,46.0,268,290,50,0,20,0,0,710,82,0,0,2,216.0,108.0,5.2043333333333335,2.6021666666666667,0.019614752770673486,1,0,0,2,1,0,0,0,1
0,0,0,0,0,0,0,2,2,0,2,2,1.0,0,0,0.0,39.0,46.0,268,340,50,0,20,0,0,760,82,0,0,1,253.0,253.0,2.7150833333333333,2.7150833333333333,0.01073155467720685,1,0,0,2,1,0,0,0,1
0,0,1,0,7,7,0,37,37,0,8,62,14.0,1,7,0.0,232126.0,246684.0,11416,26344,8344,600,680,7580,18000,96013,23049,0,190,23,2397.0,99.875,142.68051666666668,5.9450215277777785,0.08820015228682206,0,1,1,44,1,1,1,1,0
0,0,0,0,0,0,0,2,2,0,2,2,1.0,0,0,0.0,39.0,46.0,268,340,50,0,20,0,0,760,82,0,0,1,251.0,251.0,2.8413,2.8413,0.011319920318725099,1,0,0,2,1,0,0,0,1
0,0,0,0,0,0,0,3,3,0,2,2,1.0,0,1,0.0,134.0,155.0,804,340,50,100,20,0,0,1451,137,0,0,1,298.0,298.0,5.10625,5.10625,0.01713506711409396,1,0,0,3,1,0,0,0,1
0,0,0,0,0,0,0,4,4,0,3,33,6.0,0,1,0.0,204.0,236.0,2328,797,1220,100,350,1160,550,6872,367,0,0,3,712.0,237.33333333333334,34.804066666666664,11.601355555555555,0.09817877760246606,1,0,1,4,1,1,0,0,1
0,0,0,0,0,0,0,7,7,0,4,2,5.0,1,4,0.0,542.0,557.0,1808,1090,828,400,20,1670,2900,8936,220,0,0,2,767.0,255.66666666666666,34.10163333333333,11.36721111111111,0.059145524021844774,0,0,0,7,1,1,1,0,0
0,0,0,0,5,5,0,5,5,0,7,23,11.0,0,1,479.0,1488.0,1532.0,5714,18620,4750,100,250,4740,11000,46082,908,0,0,16,2017.0,144.07142857142858,121.60893333333334,8.686352380952382,0.12354500066335412,0,0,1,10,1,1,1,1,1
