basesCatapult,basesDefence,basesFrontier,basesResource,battlesLost,battlesLostPvE,battlesLostPvP,battlesWon,battlesWonPvE,battlesWonPvP,castleLevel,deckSize,heroLevel,isVip,pointsConquest,pointsSupport,pointsWar,pointsWarHighest,powerCards,powerCity,powerHero,powerMap,powerMonsterSkill,powerQuests,powerResearch,powerTotal,powerTroop,purchasedGoldTotal,questsCompleted,sessionCount,session_events_total,session_events_avg,session_length_mins_total,session_length_mins_avg,avg_event_interval_avg,playerIsGuest,registeredEmail,playerInAlliance,totalBattles,FTUEIntroCompleted,FTUEOnRailsCompleted,FTUEDayOneReturnIntroCompleted,FTUEDayOneReturnCompleted,churnedWithin3Days
0,0,0,0,0,0,0,3,3,0,2,2,1.0,0,1,0.0,110.0,127.0,804,340,50,100,20,0,0,1451,137,0,0,1,295.0,295.0,4.837833333333333,4.837833333333333,0.016399435028248588,1,0,0,3,1,0,0,0,1
0,0,0,0,0,0,0,3,3,0,2,2,2.0,0,1,0.0,134.0,155.0,804,340,145,100,20,800,0,2346,137,0,0,2,413.0,206.5,4.558283333333334,2.279141666666667,0.03283560298102981,1,0,0,3,1,1,0,0,1
0,0,0,0,0,0,0,2,2,0,2,2,1.0,0,0,0.0,39.0,46.0,268,290,50,0,20,0,0,710,82,0,0,2,216.0,108.0,5.2043333333333335,2.6021666666666667,0.019614752770673486,1,0,0,2,1,0,0,0,1
0,0,0,0,0,0,0,2,2,0,2,2,1.0,0,0,0.0,39.0,46.0,268,340,50,0,20,0,0,760,82,0,0,1,253.0,253.0,2.7150833333333333,2.7150833333333333,0.01073155467720685,1,0,0,2,1,0,0,0,1
0,0,0,0,0,0,0,2,2,0,2,2,1.0,0,0,0.0,39.0,46.0,268,340,50,0,20,0,0,760,82,0,0,1,251.0,251.0,2.8413,2.8413,0.011319920318725099,1,0,0,2,1,0,0,0,1
0,0,0,0,5,5,0,19,19,0,6,29,11.0,1,11,433.0,8775.0,10126.0,8096,8197,4750,1100,410,5720,10600,42143,3270,0,0,4,1778.0,444.5,96.91061666666667,24.227654166666667,0.08130322668006419,0,0,1,24,1,1,0,0,1
0,0,0,0,0,0,0,3,3,0,2,2,1.0,0,1,0.0,134.0,155.0,804,340,50,100,20,0,0,1451,137,0,0,1,298.0,298.0,5.10625,5.10625,0.01713506711409396,1,0,0,3,1,0,0,0,1
0,0,0,0,0,0,0,4,4,0,3,33,6.0,0,1,0.0,204.0,236.0,2328,797,1220,100,350,1160,550,6872,367,0,0,3,712.0,237.33333333333334,34.804066666666664,11.601355555555555,0.09817877760246606,1,0,1,4,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1,2,1.0,0,0,0.0,0.0,0.0,268,0,50,0,20,0,0,338,0,0,0,1,77.0,77.0,1.6463,1.6463,0.021380519480519482,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,7,7,0,4,2,5.0,1,4,0.0,542.0,557.0,1808,1090,828,400,20,1670,2900,8936,220,0,0,2,767.0,255.66666666666666,34.10163333333333,11.36721111111111,0.059145524021844774,0,0,0,7,1,1,1,0,0
